,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
380,Alfonso Pedraza\Alfonso-Pedraza,es ESP,DF,Villarreal,24-294,1996,15,14,1162,12.9,0,2,0,0,5,0,0.00,0.15,0.15,0.00,0.15,0.7,0.7,2.2,0.06,0.17,0.22,0.06,0.22,Matches
381,Pedri\Pedri,es ESP,MF,Barcelona,18-064,2002,19,13,1189,13.2,2,2,0,0,1,0,0.15,0.15,0.30,0.15,0.30,2.2,2.2,3.9,0.17,0.29,0.46,0.17,0.46,Matches
382,Rubén Peña\Ruben-Pena,es ESP,DFFW,Villarreal,29-194,1991,10,6,607,6.7,1,0,0,0,0,0,0.15,0.00,0.15,0.15,0.15,0.4,0.4,0.2,0.06,0.03,0.09,0.06,0.09,Matches
383,Alberto Perea\Alberto-Perea,es ESP,MF,Cádiz,30-040,1990,14,7,754,8.4,1,1,0,0,0,0,0.12,0.12,0.24,0.12,0.24,1.0,1.0,1.4,0.11,0.16,0.28,0.11,0.28,Matches
384,Iñigo Pérez\Inigo-Perez,es ESP,MFDF,Osasuna,33-010,1988,17,13,1103,12.3,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.02,0.05,0.07,0.02,0.07,Matches
385,Kike Pérez\Kike-Perez,es ESP,MFFW,Valladolid,23-349,1997,16,7,706,7.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,0.06,0.07,0.13,0.06,0.13,Matches
386,Lucas Pérez\Lucas-Perez,es ESP,FW,Alavés,32-140,1988,15,10,949,10.5,4,3,3,4,0,0,0.38,0.28,0.66,0.09,0.38,5.1,2.1,2.6,0.48,0.25,0.73,0.20,0.44,Matches
387,Luis Pérez\Luis-Perez,es ESP,DF,Valladolid,25-359,1995,11,8,767,8.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches
388,Nehuén Pérez\Nehuen-Perez,ar ARG,DF,Granada,20-218,2000,4,2,214,2.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.05,0.00,0.05,0.05,0.05,Matches
389,Tomás Pina Isla\Tomas-Pina-Isla,es ESP,MF,Alavés,33-106,1987,16,15,1242,13.8,1,0,0,0,6,0,0.07,0.00,0.07,0.07,0.07,0.4,0.4,0.2,0.03,0.01,0.04,0.03,0.04,Matches
390,Yeremi Pino\Yeremi-Pino,es ESP,FWMF,Villarreal,18-100,2002,12,2,353,3.9,1,1,0,0,3,0,0.25,0.25,0.51,0.25,0.51,0.4,0.4,0.6,0.10,0.16,0.26,0.10,0.26,Matches
391,Gerard Piqué\Gerard-Pique,es ESP,DF,Barcelona,33-361,1987,8,8,691,7.7,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.05,0.02,0.07,0.05,0.07,Matches
392,Miralem Pjanić\Miralem-Pjanic,ba BIH,MF,Barcelona,30-301,1990,12,3,393,4.4,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.4,0.21,0.09,0.30,0.21,0.30,Matches
