,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
267,Jean-Manuel Mbom\Jean-Manuel-Mbom,de GER,MFDF,Werder Bremen,20-339,2000,15,12,986,11.0,0,1,0,0,7,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,0.4,0.04,0.04,0.08,0.04,0.08,Matches
268,Nathan de Medina\Nathan-de-Medina,be BEL,DF,Arminia,23-112,1997,7,6,422,4.7,0,1,0,0,3,0,0.00,0.21,0.21,0.00,0.21,0.0,0.0,0.1,0.00,0.03,0.03,0.00,0.03,Matches
269,Joshua Mees\Joshua-Mees,de GER,FW,Union Berlin,24-288,1996,1,0,5,0.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,2.02,0.00,2.02,2.02,2.02,Matches
270,Admir Mehmedi\Admir-Mehmedi,ch SUI,MFFW,Wolfsburg,29-318,1991,11,6,561,6.2,0,2,0,0,0,0,0.00,0.32,0.32,0.00,0.32,0.6,0.6,1.4,0.09,0.22,0.31,0.09,0.31,Matches
271,Hamza Mendyl\Hamza-Mendyl,ma MAR,FW,Schalke 04,23-099,1997,3,1,95,1.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.10,0.00,0.10,0.10,0.10,Matches
272,Jorge Meré\Jorge-Mere,es ESP,DF,Köln,23-286,1997,6,4,413,4.6,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.02,0.02,0.00,0.02,Matches
273,Thomas Meunier\Thomas-Meunier,be BEL,DF,Dortmund,29-138,1991,14,14,1163,12.9,1,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15,0.9,0.9,1.5,0.07,0.11,0.18,0.07,0.18,Matches
274,Maximilian Mittelstädt\Maximilian-Mittelstadt,de GER,DFMF,Hertha BSC,23-316,1997,15,11,932,10.4,0,2,0,0,2,0,0.00,0.19,0.19,0.00,0.19,0.3,0.3,1.7,0.03,0.17,0.20,0.03,0.20,Matches
275,Anthony Modeste\Anthony-Modeste,fr FRA,FWMF,Köln,32-289,1988,8,1,221,2.5,0,0,0,1,1,0,0.00,0.00,0.00,0.00,0.00,1.8,1.0,0.0,0.73,0.01,0.74,0.42,0.43,Matches
276,Kevin Möhwald\Kevin-Mohwald,de GER,MF,Werder Bremen,27-209,1993,12,7,690,7.7,2,0,0,0,2,1,0.26,0.00,0.26,0.26,0.26,0.4,0.4,0.3,0.05,0.04,0.08,0.05,0.08,Matches
