Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
9,Sun,2020-11-29,12:30 (17:00),Lazio,1.3,1–3,1.1,Udinese,,Stadio Olimpico,Gianluca Aureliano,Match Report,
9,Sun,2020-11-29,15:00 (19:30),Milan,2.6,2–0,0.3,Fiorentina,,Stadio Giuseppe Meazza,Rosario Abisso,Match Report,
9,Sun,2020-11-29,15:00 (19:30),Bologna,1.5,1–0,0.4,Crotone,,Stadio Renato Dall'Ara,Marco Serra,Match Report,
9,Sun,2020-11-29,18:00 (22:30),Cagliari,2.3,2–2,2.8,Spezia,,Sardegna Arena,Valerio Marini,Match Report,
9,Sun,2020-11-29,20:45 (01:15),Napoli,1.9,4–0,0.3,Roma,,Stadio San Paolo,Marco Di Bello,Match Report,
9,Mon,2020-11-30,18:30 (23:00),Torino,1.6,2–2,1.1,Sampdoria,,Stadio Olimpico di Torino,Daniele Doveri,Match Report,
9,Mon,2020-11-30,20:45 (01:15),Genoa,1.4,1–2,1.1,Parma,,Stadio Comunale Luigi Ferraris,Maurizio Mariani,Match Report,
,,,,,,,,,,,,,
10,Sat,2020-12-05,15:00 (19:30),Spezia,1.7,1–2,0.3,Lazio,,Stadio Dino Manuzzi,Daniele Chiffi,Match Report,
10,Sat,2020-12-05,18:00 (22:30),Juventus,1.6,2–1,0.8,Torino,,Allianz Stadium,Daniele Orsato,Match Report,
10,Sat,2020-12-05,20:45 (01:15),Inter,1.5,3–1,1.3,Bologna,,Stadio Giuseppe Meazza,Paolo Valeri,Match Report,
10,Sun,2020-12-06,12:30 (17:00),Hellas Verona,2.8,1–1,1.2,Cagliari,,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Match Report,
10,Sun,2020-12-06,15:00 (19:30),Parma,0.4,0–0,0.3,Benevento,,Stadio Ennio Tardini,Juan Sacchi,Match Report,
10,Sun,2020-12-06,15:00 (19:30),Roma,1.2,0–0,0.4,Sassuolo,,Stadio Olimpico,Fabio Maresca,Match Report,
10,Sun,2020-12-06,18:00 (22:30),Crotone,0.5,0–4,2.2,Napoli,,Stadio Ezio Scida,Livio Marinelli,Match Report,
10,Sun,2020-12-06,20:45 (01:15),Sampdoria,1.1,1–2,2.5,Milan,,Stadio Comunale Luigi Ferraris,Giampaolo Calvarese,Match Report,
10,Mon,2020-12-07,20:45 (01:15),Fiorentina,2.7,1–1,1.2,Genoa,,Stadio Artemio Franchi,Daniele Doveri,Match Report,
,,,,,,,,,,,,,
11,Fri,2020-12-11,20:45 (01:15),Sassuolo,1.0,1–0,2.5,Benevento,,Stadio Città del Tricolore,Simone Sozza,Match Report,
11,Sat,2020-12-12,15:00 (19:30),Crotone,2.2,4–1,1.2,Spezia,,Stadio Ezio Scida,Antonio Giua,Match Report,
11,Sat,2020-12-12,18:00 (22:30),Torino,1.1,2–3,1.2,Udinese,,Stadio Olimpico di Torino,Davide Massa,Match Report,
